region_id,timestamp,val_SO2_mean,extra_rings_SO2_mean
NE,2017-07-20,1.5,2
NG,2017-07-20,2.0,0
NN,2017-07-20,1.5,2
NP,2017-07-20,2.0,1
NR,2017-07-20,1.5,2
NW,2017-07-20,8.0,0
OL,2017-07-20,1.0,1
OX,2017-07-20,1.0,2
PA,2017-07-20,1.0,1
PE,2017-07-20,1.5,1
PH,2017-07-20,1.0,1
PL,2017-07-20,2.0,2
PO,2017-07-20,1.0,1
PR,2017-07-20,1.0,1
RG,2017-07-20,1.0,1
RH,2017-07-20,1.0,1
RM,2017-07-20,1.0,0
S,2017-07-20,1.5,0
SA,2017-07-20,2.5,0
SE,2017-07-20,1.0,1
SG,2017-07-20,1.0,1
SK,2017-07-20,1.3333333333333333,1
SL,2017-07-20,2.6,2
SM,2017-07-20,1.5,2
SN,2017-07-20,1.3333333333333333,2
SO,2017-07-20,1.0,0
SP,2017-07-20,1.0,1
SR,2017-07-20,2.0,1
SS,2017-07-20,1.0,1
ST,2017-07-20,1.5,2
SW,2017-07-20,1.5,1
SY,2017-07-20,2.6666666666666665,1
TA,2017-07-20,2.0,0
TD,2017-07-20,1.0,1
TF,2017-07-20,2.6666666666666665,2
TN,2017-07-20,1.0,1
TQ,2017-07-20,2.0,2
TR,2017-07-20,2.0,3
TS,2017-07-20,2.0,0
TW,2017-07-20,2.0,1
UB,2017-07-20,2.0,1
W,2017-07-20,2.0,0
WA,2017-07-20,1.0,1
WC,2017-07-20,1.0,0
WD,2017-07-20,8.0,1
WF,2017-07-20,1.25,1
WN,2017-07-20,1.0,1
WR,2017-07-20,2.6666666666666665,2
WS,2017-07-20,1.6666666666666667,2
WV,2017-07-20,2.6666666666666665,2
YO,2017-07-20,1.5,1
ZE,2017-07-20,,2
AB,2017-07-21,2.0,2
AL,2017-07-21,3.5,2
B,2017-07-21,1.6666666666666667,2
BA,2017-07-21,3.0,1
BB,2017-07-21,1.6666666666666667,2
BD,2017-07-21,2.0,1
BH,2017-07-21,1.5,1
BL,2017-07-21,1.0,1
BN,2017-07-21,1.0,0
BR,2017-07-21,1.25,2
BS,2017-07-21,3.0,1
BT,2017-07-21,2.0,0
CA,2017-07-21,1.5,2
CB,2017-07-21,1.0,0
CF,2017-07-21,2.0,0
CH,2017-07-21,3.0,1
CM,2017-07-21,1.0,1
CO,2017-07-21,1.0,1
CR,2017-07-21,1.4,2
CT,2017-07-21,1.0,1
CV,2017-07-21,1.6666666666666667,2
CW,2017-07-21,1.7142857142857142,2
DA,2017-07-21,1.0,1
DD,2017-07-21,1.5,2
DE,2017-07-21,1.6666666666666667,1
DG,2017-07-21,1.5,2
DH,2017-07-21,2.0,1
DL,2017-07-21,2.0,1
DN,2017-07-21,9.0,0
DT,2017-07-21,3.0,1
DY,2017-07-21,2.0,2
E,2017-07-21,3.0,2
EC,2017-07-21,2.0,1
EH,2017-07-21,1.0,0
EN,2017-07-21,6.0,1
EX,2017-07-21,3.0,1
FK,2017-07-21,2.0,0
FY,2017-07-21,2.0,2
G,2017-07-21,2.0,1
GL,2017-07-21,2.5,2
GU,2017-07-21,1.3333333333333333,1
GY,2017-07-21,,2
HA,2017-07-21,4.0,1
HD,2017-07-21,1.5,1
HG,2017-07-21,2.0,1
HP,2017-07-21,3.0,2
HR,2017-07-21,2.0,2
HS,2017-07-21,,2
HU,2017-07-21,2.0,0
HX,2017-07-21,1.5,2
IG,2017-07-21,1.0,1
IM,2017-07-21,,2
IP,2017-07-21,1.0,1
IV,2017-07-21,2.0,2
JE,2017-07-21,,2
KA,2017-07-21,1.5,2
KT,2017-07-21,1.6,2
KW,2017-07-21,2.0,3
KY,2017-07-21,1.5,1
L,2017-07-21,2.0,0
LA,2017-07-21,2.0,2
LD,2017-07-21,1.3333333333333333,1
LE,2017-07-21,2.0,1
LL,2017-07-21,4.0,0
LN,2017-07-21,5.5,1
LS,2017-07-21,2.0,0
LU,2017-07-21,1.0,2
M,2017-07-21,1.0,0
ME,2017-07-21,1.0,0
MK,2017-07-21,1.5,2
ML,2017-07-21,1.5,1
N,2017-07-21,4.0,1
NE,2017-07-21,1.5,2
NG,2017-07-21,2.0,0
NN,2017-07-21,1.5,2
NP,2017-07-21,2.0,1
NR,2017-07-21,1.5,2
NW,2017-07-21,6.0,0
OL,2017-07-21,1.0,1
OX,2017-07-21,1.5,2
PA,2017-07-21,2.0,1
PE,2017-07-21,1.5,1
PH,2017-07-21,2.0,1
PL,2017-07-21,3.0,2
PO,2017-07-21,1.3333333333333333,1
PR,2017-07-21,2.0,1
RG,2017-07-21,1.5,1
RH,2017-07-21,1.0,1
RM,2017-07-21,1.0,0
S,2017-07-21,1.5,0
SA,2017-07-21,1.0,0
SE,2017-07-21,1.5,1
SG,2017-07-21,1.0,1
SK,2017-07-21,1.3333333333333333,1
SL,2017-07-21,2.4,2
SM,2017-07-21,2.0,2
SN,2017-07-21,2.0,2
SO,2017-07-21,1.5,0
SP,2017-07-21,1.5,1
SR,2017-07-21,2.0,1
SS,2017-07-21,1.0,1
ST,2017-07-21,1.5,2
SW,2017-07-21,2.0,1
SY,2017-07-21,2.0,1
TA,2017-07-21,3.0,0
TD,2017-07-21,1.0,1
TF,2017-07-21,2.0,2
TN,2017-07-21,1.0,1
TQ,2017-07-21,3.0,2
TR,2017-07-21,3.0,3
TS,2017-07-21,2.0,0
TW,2017-07-21,2.0,1
UB,2017-07-21,2.0,1
W,2017-07-21,2.0,0
WA,2017-07-21,1.5,1
WC,2017-07-21,2.0,0
WD,2017-07-21,6.0,1
WF,2017-07-21,3.5,1
WN,2017-07-21,1.5,1
WR,2017-07-21,2.0,2
WS,2017-07-21,1.6666666666666667,2
WV,2017-07-21,2.0,2
YO,2017-07-21,3.75,1
ZE,2017-07-21,,2
AB,2017-07-22,8.0,2
AL,2017-07-22,4.0,2
B,2017-07-22,2.333333333333333,2
BA,2017-07-22,3.0,1
BB,2017-07-22,1.6666666666666667,2
BD,2017-07-22,1.0,1
BH,2017-07-22,0.5,1
BL,2017-07-22,1.0,1
BN,2017-07-22,1.0,0
BR,2017-07-22,1.25,2
BS,2017-07-22,3.0,1
BT,2017-07-22,1.3333333333333333,0
CA,2017-07-22,1.0,2
CB,2017-07-22,1.0,0
CF,2017-07-22,1.0,0
CH,2017-07-22,3.0,1
CM,2017-07-22,1.5,1
CO,2017-07-22,1.0,1
CR,2017-07-22,1.4,2
CT,2017-07-22,1.0,1
CV,2017-07-22,2.333333333333333,2
CW,2017-07-22,2.142857142857143,2
DA,2017-07-22,1.5,1
DD,2017-07-22,4.5,2
DE,2017-07-22,2.333333333333333,1
DG,2017-07-22,4.5,2
DH,2017-07-22,1.0,1
DL,2017-07-22,1.0,1
DN,2017-07-22,9.0,0
DT,2017-07-22,3.0,1
DY,2017-07-22,1.6666666666666667,2
E,2017-07-22,3.333333333333333,2
EC,2017-07-22,1.0,1
EH,2017-07-22,1.0,0
EN,2017-07-22,7.0,1
EX,2017-07-22,3.0,1
FK,2017-07-22,8.0,0
FY,2017-07-22,3.0,2
G,2017-07-22,8.0,1
GL,2017-07-22,2.0,2
GU,2017-07-22,0.6666666666666666,1
GY,2017-07-22,,2
HA,2017-07-22,4.5,1
HD,2017-07-22,3.0,1
HG,2017-07-22,1.0,1
HP,2017-07-22,2.6666666666666665,2
HR,2017-07-22,1.5,2
HS,2017-07-22,,2
HU,2017-07-22,2.0,0
HX,2017-07-22,2.0,2
IG,2017-07-22,2.0,1
IM,2017-07-22,,2
IP,2017-07-22,1.0,1
IV,2017-07-22,8.0,2
JE,2017-07-22,,2
KA,2017-07-22,4.5,2
KT,2017-07-22,1.0,2
KW,2017-07-22,8.0,3
KY,2017-07-22,4.5,1
L,2017-07-22,3.0,0
LA,2017-07-22,1.6666666666666667,2
LD,2017-07-22,1.0,1
LE,2017-07-22,1.0,1
LL,2017-07-22,3.0,0
LN,2017-07-22,5.0,1
LS,2017-07-22,1.0,0
LU,2017-07-22,1.0,2
M,2017-07-22,1.0,0
ME,2017-07-22,1.0,0
MK,2017-07-22,1.0,2
ML,2017-07-22,4.5,1
N,2017-07-22,4.0,1
NE,2017-07-22,1.0,2
NG,2017-07-22,1.0,0
NN,2017-07-22,1.0,2
NP,2017-07-22,1.0,1
NR,2017-07-22,1.0,2
NW,2017-07-22,7.0,0
OL,2017-07-22,1.0,1
OX,2017-07-22,0.5,2
PA,2017-07-22,8.0,1
PE,2017-07-22,1.0,1
PH,2017-07-22,8.0,1
PL,2017-07-22,3.0,2
PO,2017-07-22,0.6666666666666666,1
PR,2017-07-22,3.0,1
RG,2017-07-22,0.5,1
RH,2017-07-22,1.0,1
RM,2017-07-22,2.0,0
S,2017-07-22,3.0,0
SA,2017-07-22,1.0,0
SE,2017-07-22,1.5,1
SG,2017-07-22,1.0,1
SK,2017-07-22,2.333333333333333,1
SL,2017-07-22,2.2,2
SM,2017-07-22,1.5,2
SN,2017-07-22,1.3333333333333333,2
SO,2017-07-22,0.5,0
SP,2017-07-22,0.5,1
SR,2017-07-22,1.0,1
SS,2017-07-22,1.5,1
ST,2017-07-22,2.0,2
SW,2017-07-22,1.5,1
SY,2017-07-22,1.6666666666666667,1
TA,2017-07-22,3.0,0
TD,2017-07-22,1.0,1
TF,2017-07-22,1.6666666666666667,2
TN,2017-07-22,1.0,1
TQ,2017-07-22,3.0,2
TR,2017-07-22,3.0,3
TS,2017-07-22,1.0,0
TW,2017-07-22,2.0,1
UB,2017-07-22,2.0,1
W,2017-07-22,2.0,0
WA,2017-07-22,2.0,1
WC,2017-07-22,1.0,0
WD,2017-07-22,7.0,1
WF,2017-07-22,4.0,1
WN,2017-07-22,2.0,1
WR,2017-07-22,1.6666666666666667,2
WS,2017-07-22,2.333333333333333,2
WV,2017-07-22,1.6666666666666667,2
YO,2017-07-22,3.25,1
ZE,2017-07-22,,2
AB,2017-07-23,8.0,2
AL,2017-07-23,4.0,2
B,2017-07-23,1.3333333333333333,2
BA,2017-07-23,4.0,1
BB,2017-07-23,1.0,2
BD,2017-07-23,1.0,1
BH,2017-07-23,0.5,1
BL,2017-07-23,1.0,1
BN,2017-07-23,1.0,0
BR,2017-07-23,1.0,2
BS,2017-07-23,4.0,1
BT,2017-07-23,1.3333333333333333,0
CA,2017-07-23,1.0,2
CB,2017-07-23,1.0,0
CF,2017-07-23,2.0,0
CH,2017-07-23,1.5,1
CM,2017-07-23,1.0,1
CO,2017-07-23,1.0,1
CR,2017-07-23,1.25,2
CT,2017-07-23,1.0,1
CV,2017-07-23,1.3333333333333333,2
CW,2017-07-23,1.2857142857142858,2
DA,2017-07-23,1.0,1
DD,2017-07-23,4.5,2
DE,2017-07-23,1.3333333333333333,1
DG,2017-07-23,4.5,2
DH,2017-07-23,1.0,1
DL,2017-07-23,1.0,1
DN,2017-07-23,2.0,0
DT,2017-07-23,4.0,1
DY,2017-07-23,1.3333333333333333,2
E,2017-07-23,4.0,2
EC,2017-07-23,3.333333333333333,2
EH,2017-07-23,1.0,0
EN,2017-07-23,7.0,1
EX,2017-07-23,4.0,1
FK,2017-07-23,8.0,0
FY,2017-07-23,1.0,2
G,2017-07-23,8.0,1
GL,2017-07-23,3.0,2
GU,2017-07-23,0.6666666666666666,1
GY,2017-07-23,,2
HA,2017-07-23,4.5,1
HD,2017-07-23,1.5,1
HG,2017-07-23,1.0,1
HP,2017-07-23,2.6666666666666665,2
HR,2017-07-23,1.5,2
HS,2017-07-23,,2
HU,2017-07-23,2.0,0
HX,2017-07-23,1.25,2
IG,2017-07-23,1.0,1
IM,2017-07-23,,2
IP,2017-07-23,1.0,1
IV,2017-07-23,8.0,2
JE,2017-07-23,,2
KA,2017-07-23,4.5,2
KT,2017-07-23,1.0,2
KW,2017-07-23,8.0,3
KY,2017-07-23,4.5,1
L,2017-07-23,1.0,0
LA,2017-07-23,1.0,2
LD,2017-07-23,1.3333333333333333,1
LE,2017-07-23,1.0,1
LL,2017-07-23,2.0,0
LN,2017-07-23,1.5,1
LS,2017-07-23,1.0,0
LU,2017-07-23,1.0,2
M,2017-07-23,1.0,0
ME,2017-07-23,1.0,0
MK,2017-07-23,1.0,2
ML,2017-07-23,4.5,1
N,2017-07-23,7.0,1
NE,2017-07-23,1.0,2
NG,2017-07-23,1.0,0
NN,2017-07-23,1.0,2
NP,2017-07-23,2.0,1
NR,2017-07-23,1.0,2
NW,2017-07-23,7.0,0
OL,2017-07-23,1.0,1
OX,2017-07-23,0.5,2
PA,2017-07-23,8.0,1
PE,2017-07-23,1.0,1
PH,2017-07-23,8.0,1
PL,2017-07-23,4.0,2
PO,2017-07-23,0.6666666666666666,1
PR,2017-07-23,1.0,1
RG,2017-07-23,0.5,1
RH,2017-07-23,1.0,1
RM,2017-07-23,1.0,0
S,2017-07-23,1.5,0
SA,2017-07-23,1.0,0
SE,2017-07-23,1.0,1
SG,2017-07-23,1.0,1
SK,2017-07-23,1.3333333333333333,1
SL,2017-07-23,2.2,2
SM,2017-07-23,2.0,2
SN,2017-07-23,1.6666666666666667,2
SO,2017-07-23,0.5,0
SP,2017-07-23,0.5,1
SR,2017-07-23,1.0,1
SS,2017-07-23,1.0,1
ST,2017-07-23,1.25,2
SW,2017-07-23,2.0,1
SY,2017-07-23,1.3333333333333333,1
TA,2017-07-23,4.0,0
TD,2017-07-23,1.0,1
TF,2017-07-23,1.3333333333333333,2
TN,2017-07-23,1.0,1
TQ,2017-07-23,4.0,2
TR,2017-07-23,4.0,3
TS,2017-07-23,1.0,0
TW,2017-07-23,2.0,1
UB,2017-07-23,2.0,1
W,2017-07-23,2.0,0
WA,2017-07-23,1.0,1
WC,2017-07-23,4.5,1
WD,2017-07-23,7.0,1
WF,2017-07-23,1.5,1
WN,2017-07-23,1.0,1
WR,2017-07-23,1.3333333333333333,2
WS,2017-07-23,1.3333333333333333,2
WV,2017-07-23,1.3333333333333333,2
YO,2017-07-23,1.5,1
ZE,2017-07-23,,2
AB,2017-07-24,4.0,2
AL,2017-07-24,2.0,2
B,2017-07-24,1.6666666666666667,2
BA,2017-07-24,3.0,1
BB,2017-07-24,1.0,2
BD,2017-07-24,1.0,1
BH,2017-07-24,0.5,1
BL,2017-07-24,1.0,1
BN,2017-07-24,1.0,0
BR,2017-07-24,1.0,2
BS,2017-07-24,3.0,1
BT,2017-07-24,1.0,0
CA,2017-07-24,1.5,2
CB,2017-07-24,1.0,0
CF,2017-07-24,2.0,0
CH,2017-07-24,1.5,1
CM,2017-07-24,1.0,1
CO,2017-07-24,1.0,1
CR,2017-07-24,1.2,2
CT,2017-07-24,0.0,1
CV,2017-07-24,1.6666666666666667,2
CW,2017-07-24,1.1666666666666667,2
DA,2017-07-24,0.5,1
DD,2017-07-24,2.5,2
DE,2017-07-24,1.6666666666666667,1
DG,2017-07-24,2.5,2
DH,2017-07-24,2.0,1
DL,2017-07-24,2.0,1
DN,2017-07-24,1.0,0
DT,2017-07-24,3.0,1
DY,2017-07-24,1.0,2
E,2017-07-24,2.0,2
EC,2017-07-24,2.0,1
EH,2017-07-24,1.0,0
EN,2017-07-24,3.0,1
EX,2017-07-24,3.0,1
FK,2017-07-24,4.0,0
FY,2017-07-24,1.0,2
G,2017-07-24,4.0,1
GL,2017-07-24,2.5,2
GU,2017-07-24,0.6666666666666666,1
GY,2017-07-24,,2
HA,2017-07-24,2.5,1
HD,2017-07-24,1.5,1
HG,2017-07-24,1.0,1
HP,2017-07-24,1.3333333333333333,2
HR,2017-07-24,1.3333333333333333,2
HS,2017-07-24,,2
HU,2017-07-24,2.0,0
HX,2017-07-24,1.25,2
IG,2017-07-24,1.0,1
IM,2017-07-24,,2
IP,2017-07-24,1.0,1
IV,2017-07-24,4.0,2
JE,2017-07-24,,2
KA,2017-07-24,2.5,2
KT,2017-07-24,1.2,2
KW,2017-07-24,4.0,3
KY,2017-07-24,2.5,1
L,2017-07-24,1.0,0
LA,2017-07-24,1.3333333333333333,2
LD,2017-07-24,1.0,1
LE,2017-07-24,2.0,1
LL,2017-07-24,2.0,0
LN,2017-07-24,1.5,1
LS,2017-07-24,1.0,0
LU,2017-07-24,1.0,2
M,2017-07-24,1.0,0
ME,2017-07-24,0.0,0
MK,2017-07-24,1.5,2
ML,2017-07-24,2.5,1
N,2017-07-24,2.5,1
NE,2017-07-24,1.5,2
NG,2017-07-24,2.0,0
NN,2017-07-24,1.5,2
NP,2017-07-24,2.0,1
NR,2017-07-24,1.5,2
NW,2017-07-24,3.0,0
OL,2017-07-24,1.0,1
OX,2017-07-24,0.5,2
PA,2017-07-24,4.0,1
PE,2017-07-24,1.5,1
PH,2017-07-24,4.0,1
PL,2017-07-24,3.0,2
PO,2017-07-24,0.6666666666666666,1
PR,2017-07-24,1.0,1
RG,2017-07-24,0.5,1
RH,2017-07-24,1.0,1
RM,2017-07-24,1.0,0
S,2017-07-24,1.5,0
SA,2017-07-24,0.0,0
SE,2017-07-24,1.5,1
SG,2017-07-24,1.0,1
SK,2017-07-24,1.3333333333333333,1
SL,2017-07-24,1.4,2
SM,2017-07-24,2.0,2
SN,2017-07-24,1.3333333333333333,2
SO,2017-07-24,0.5,0
SP,2017-07-24,0.5,1
SR,2017-07-24,2.0,1
SS,2017-07-24,0.5,1
ST,2017-07-24,1.5,2
SW,2017-07-24,2.0,1
SY,2017-07-24,1.0,1
TA,2017-07-24,3.0,0
TD,2017-07-24,1.0,1
TF,2017-07-24,1.0,2
TN,2017-07-24,0.5,1
TQ,2017-07-24,3.0,2
TR,2017-07-24,3.0,3
TS,2017-07-24,2.0,0
TW,2017-07-24,2.0,1
UB,2017-07-24,2.0,1
W,2017-07-24,2.0,0
WA,2017-07-24,1.0,1
WC,2017-07-24,2.0,0
WD,2017-07-24,3.0,1
WF,2017-07-24,1.25,1
WN,2017-07-24,1.0,1
WR,2017-07-24,1.0,2
WS,2017-07-24,1.6666666666666667,2
WV,2017-07-24,1.0,2
YO,2017-07-24,1.5,1
ZE,2017-07-24,,2
AB,2017-07-25,3.0,2
AL,2017-07-25,2.5,2
B,2017-07-25,2.6666666666666665,2
BA,2017-07-25,5.0,1
BB,2017-07-25,1.0,2
BD,2017-07-25,1.0,1
BH,2017-07-25,1.0,1
BL,2017-07-25,1.0,1
BN,2017-07-25,1.0,0
BR,2017-07-25,1.0,2
BS,2017-07-25,5.0,1
BT,2017-07-25,3.0,0
CA,2017-07-25,2.0,2
CB,2017-07-25,2.0,0
CF,2017-07-25,2.0,0
CH,2017-07-25,1.5,1
CM,2017-07-25,1.5,1
CO,2017-07-25,2.0,1
CR,2017-07-25,1.25,2
CT,2017-07-25,1.0,1
CV,2017-07-25,2.6666666666666665,2
CW,2017-07-25,1.6666666666666667,2
DA,2017-07-25,1.0,1
DD,2017-07-25,2.5,2
DE,2017-07-25,2.6666666666666665,1
DG,2017-07-25,2.5,2
DH,2017-07-25,2.0,1
DL,2017-07-25,2.0,1
DN,2017-07-25,7.0,0
DT,2017-07-25,5.0,1
DY,2017-07-25,1.0,2
E,2017-07-25,2.0,2
EC,2017-07-25,2.0,2
EH,2017-07-25,2.0,0
EN,2017-07-25,3.0,1
EX,2017-07-25,5.0,1
FK,2017-07-25,3.0,0
FY,2017-07-25,1.0,2
G,2017-07-25,3.0,1
GL,2017-07-25,3.5,2
GU,2017-07-25,1.0,1
GY,2017-07-25,,2
HA,2017-07-25,2.5,1
HD,2017-07-25,3.0,1
HG,2017-07-25,1.0,1
HP,2017-07-25,1.6666666666666667,2
HR,2017-07-25,1.3333333333333333,2
HS,2017-07-25,,2
HU,2017-07-25,1.0,0
HX,2017-07-25,2.0,2
IG,2017-07-25,1.0,1
IM,2017-07-25,,2
IP,2017-07-25,2.0,1
IV,2017-07-25,3.0,2
JE,2017-07-25,,2
KA,2017-07-25,2.5,2
KT,2017-07-25,1.25,2
KW,2017-07-25,3.0,3
KY,2017-07-25,2.5,1
L,2017-07-25,1.0,0
LA,2017-07-25,1.3333333333333333,2
LD,2017-07-25,1.0,1
LE,2017-07-25,2.0,1
LL,2017-07-25,2.0,0
LN,2017-07-25,4.5,1
LS,2017-07-25,1.0,0
LU,2017-07-25,2.0,2
M,2017-07-25,1.0,0
ME,2017-07-25,1.0,0
MK,2017-07-25,2.0,2
ML,2017-07-25,2.5,1
N,2017-07-25,3.0,1
NE,2017-07-25,2.0,2
NG,2017-07-25,2.0,0
NN,2017-07-25,2.0,2
NP,2017-07-25,2.0,1
NR,2017-07-25,2.0,2
NW,2017-07-25,3.0,0
OL,2017-07-25,1.0,1
OX,2017-07-25,1.0,2
PA,2017-07-25,3.0,1
PE,2017-07-25,2.0,1
PH,2017-07-25,3.0,1
PL,2017-07-25,5.0,2
PO,2017-07-25,1.0,1
PR,2017-07-25,1.0,1
RG,2017-07-25,1.0,1
RH,2017-07-25,1.0,1
RM,2017-07-25,1.0,0
S,2017-07-25,3.0,0
SA,2017-07-25,0.0,0
SE,2017-07-25,1.0,1
SG,2017-07-25,2.0,1
SK,2017-07-25,2.333333333333333,1
SL,2017-07-25,1.6,2
SM,2017-07-25,2.0,2
SN,2017-07-25,2.333333333333333,2
SO,2017-07-25,1.0,0
SP,2017-07-25,1.0,1
SR,2017-07-25,2.0,1
SS,2017-07-25,1.0,1
ST,2017-07-25,2.25,2
SW,2017-07-25,2.0,1
SY,2017-07-25,1.0,1
TA,2017-07-25,5.0,0
TD,2017-07-25,2.0,1
TF,2017-07-25,1.0,2
TN,2017-07-25,1.0,1
TQ,2017-07-25,5.0,2
TR,2017-07-25,5.0,3
TS,2017-07-25,2.0,0
TW,2017-07-25,2.0,1
UB,2017-07-25,2.0,1
W,2017-07-25,2.0,0
WA,2017-07-25,1.0,1
WC,2017-07-25,2.5,1
WD,2017-07-25,3.0,1
WF,2017-07-25,3.5,1
WN,2017-07-25,1.0,1
WR,2017-07-25,1.0,2
WS,2017-07-25,2.6666666666666665,2
WV,2017-07-25,1.0,2
YO,2017-07-25,2.75,1
ZE,2017-07-25,,2
AB,2017-07-26,1.0,2
AL,2017-07-26,4.5,2
B,2017-07-26,2.0,2
BA,2017-07-26,3.0,1
BB,2017-07-26,1.6666666666666667,2
BD,2017-07-26,1.0,1
BH,2017-07-26,1.0,1
BL,2017-07-26,2.0,1
BN,2017-07-26,1.0,0
BR,2017-07-26,1.6666666666666667,2
BS,2017-07-26,3.0,1
BT,2017-07-26,2.6666666666666665,0
CA,2017-07-26,2.5,2
CB,2017-07-26,1.0,0
CF,2017-07-26,2.0,0
CH,2017-07-26,3.0,1
CM,2017-07-26,1.5,1
CO,2017-07-26,1.0,1
CR,2017-07-26,1.75,2
CT,2017-07-26,2.0,1
CV,2017-07-26,2.0,2
CW,2017-07-26,2.0,2
DA,2017-07-26,2.0,1
DD,2017-07-26,1.5,2
DE,2017-07-26,2.0,1
DG,2017-07-26,1.5,2
DH,2017-07-26,3.0,1
DL,2017-07-26,3.0,1
DN,2017-07-26,1.0,0
DT,2017-07-26,3.0,1
DY,2017-07-26,2.0,2
E,2017-07-26,5.0,2
EC,2017-07-26,4.0,2
EH,2017-07-26,2.0,0
EN,2017-07-26,8.0,1
EX,2017-07-26,3.0,1
FK,2017-07-26,1.0,0
FY,2017-07-26,2.0,2
G,2017-07-26,1.0,1
GL,2017-07-26,2.5,2
GU,2017-07-26,1.0,1
GY,2017-07-26,,2
HA,2017-07-26,5.0,1
HD,2017-07-26,2.0,1
HG,2017-07-26,1.0,1
HP,2017-07-26,3.333333333333333,2
HR,2017-07-26,2.0,2
HS,2017-07-26,,2
HU,2017-07-26,3.0,0
HX,2017-07-26,1.75,2
IG,2017-07-26,2.0,1
IM,2017-07-26,,2
IP,2017-07-26,1.0,1
IV,2017-07-26,1.0,2
JE,2017-07-26,,2
KA,2017-07-26,1.5,2
KT,2017-07-26,1.25,2
KW,2017-07-26,1.0,3
KY,2017-07-26,1.5,1
L,2017-07-26,2.0,0
LA,2017-07-26,2.0,2
LD,2017-07-26,1.0,1
LE,2017-07-26,2.0,1
LL,2017-07-26,4.0,0
LN,2017-07-26,1.5,1
LS,2017-07-26,1.0,0
LU,2017-07-26,1.0,2
M,2017-07-26,2.0,0
ME,2017-07-26,2.0,0
MK,2017-07-26,1.5,2
ML,2017-07-26,1.5,1
N,2017-07-26,8.0,1
NE,2017-07-26,2.5,2
NG,2017-07-26,2.0,0
NN,2017-07-26,1.5,2
NP,2017-07-26,2.0,1
NR,2017-07-26,1.5,2
NW,2017-07-26,8.0,0
OL,2017-07-26,2.0,1
OX,2017-07-26,1.0,2
PA,2017-07-26,1.0,1
PE,2017-07-26,1.5,1
PH,2017-07-26,1.0,1
PL,2017-07-26,3.0,2
PO,2017-07-26,1.0,1
PR,2017-07-26,2.0,1
RG,2017-07-26,1.0,1
RH,2017-07-26,1.0,1
RM,2017-07-26,2.0,0
S,2017-07-26,2.0,0
SA,2017-07-26,0.0,0
SE,2017-07-26,2.0,1
SG,2017-07-26,1.0,1
SK,2017-07-26,2.0,1
SL,2017-07-26,2.6,2
SM,2017-07-26,2.0,2
SN,2017-07-26,1.6666666666666667,2
SO,2017-07-26,1.0,0
SP,2017-07-26,1.0,1
SR,2017-07-26,3.0,1
SS,2017-07-26,2.0,1
ST,2017-07-26,2.0,2
SW,2017-07-26,2.0,1
SY,2017-07-26,2.0,1
TA,2017-07-26,3.0,0
TD,2017-07-26,2.0,1
TF,2017-07-26,2.0,2
TN,2017-07-26,1.5,1
TQ,2017-07-26,3.0,2
TR,2017-07-26,3.0,3
TS,2017-07-26,3.0,0
TW,2017-07-26,2.0,1
UB,2017-07-26,2.0,1
W,2017-07-26,2.0,0
WA,2017-07-26,2.0,1
WC,2017-07-26,5.0,1
WD,2017-07-26,8.0,1
WF,2017-07-26,1.5,1
WN,2017-07-26,2.0,1
WR,2017-07-26,2.0,2
WS,2017-07-26,2.0,2
WV,2017-07-26,2.0,2
YO,2017-07-26,2.0,1
ZE,2017-07-26,,2
AB,2017-07-27,1.0,2
AL,2017-07-27,5.5,2
B,2017-07-27,2.0,2
BA,2017-07-27,2.0,1
BB,2017-07-27,1.6666666666666667,2
BD,2017-07-27,1.0,1
BH,2017-07-27,0.5,1
BL,2017-07-27,2.0,1
BN,2017-07-27,1.0,0
BR,2017-07-27,1.0,2
BS,2017-07-27,2.0,1
BT,2017-07-27,1.3333333333333333,0
CA,2017-07-27,2.0,2
CB,2017-07-27,2.0,0
CF,2017-07-27,1.0,0
CH,2017-07-27,2.0,1
CM,2017-07-27,1.5,1
CO,2017-07-27,2.0,1
CR,2017-07-27,1.25,2
CT,2017-07-27,1.0,1
CV,2017-07-27,2.0,2
CW,2017-07-27,1.8333333333333333,2
DA,2017-07-27,1.0,1
DD,2017-07-27,1.5,2
DE,2017-07-27,2.0,1
DG,2017-07-27,1.5,2
DH,2017-07-27,2.0,1
DL,2017-07-27,2.0,1
DN,2017-07-27,1.0,0
DT,2017-07-27,2.0,1
DY,2017-07-27,1.5,2
E,2017-07-27,5.0,2
EC,2017-07-27,4.0,2
EH,2017-07-27,2.0,0
EN,2017-07-27,9.0,1
EX,2017-07-27,2.0,1
FK,2017-07-27,1.0,0
FY,2017-07-27,2.0,2
G,2017-07-27,1.0,1
GL,2017-07-27,1.5,2
GU,2017-07-27,0.6666666666666666,1
GY,2017-07-27,,2
HA,2017-07-27,5.5,1
HD,2017-07-27,2.0,1
HG,2017-07-27,1.0,1
HP,2017-07-27,3.333333333333333,2
HR,2017-07-27,1.3333333333333333,2
HS,2017-07-27,,2
HU,2017-07-27,3.0,0
HX,2017-07-27,1.75,2
IG,2017-07-27,1.0,1
IM,2017-07-27,,2
IP,2017-07-27,2.0,1
IV,2017-07-27,1.0,2
JE,2017-07-27,,2
KA,2017-07-27,1.5,2
KT,2017-07-27,1.0,2
KW,2017-07-27,1.0,3
KY,2017-07-27,1.5,1
